name,rank,marketcap,country,share_price,change1d,change1y,categories
biosig technologies,6878,37040000.0,usa,0.0,-1.65%,-67.21%,medical-devices 
boyaa interactive,6879,36810000.0,china,0.0,0.00%,-16.67%,video-games entertainment 
grand twins international cambodia,6882,35850000.0,cambodia,0.0,0.27%,,clothing manufacturing 
cryo-cell,6880,36800000.0,usa,4.0,0.00%,-62.27%,biotech 
shift technologies,6884,35290000.0,usa,0.0,0.68%,-92.08%,car-retail used-car-retailer e-commerce internet tech 
vistagen therapeutics,6874,38050000.0,usa,0.0,0.11%,-89.43%,pharmaceuticals 
aim immunotech,6867,38510000.0,usa,0.0,4.03%,-10.00%,pharmaceuticals 
appirits,6872,38120000.0,japan,9.0,2.53%,78.22%,video-games entertainment tech 
mep infrastructure,6868,38490000.0,india,0.0,0.00%,-46.15%,
blue apron holdings,6865,38780000.0,usa,0.0,-4.85%,-87.72%,food food-delivery internet 
team inc,6870,38380000.0,usa,8.0,2.30%,969.87%,engineering professional-services 
greenidge generation holdings,6866,38580000.0,usa,0.0,-11.99%,-94.09%,tech bitcoin bitcoin-mining 
isoray,6861,39960000.0,usa,0.0,0.36%,-27.90%,medical-instruments-and-supplies 
foresight autonomous holdings,6864,39390000.0,israel,0.0,4.24%,-62.82%,software tech automotive-suppliers 
avrobio,6862,39960000.0,usa,0.0,2.55%,-51.70%,pharmaceuticals biotech gene-therapy 
boombit,6858,40860000.0,poland,3.0,0.93%,-39.96%,video-games entertainment 
izea worldwide,6869,38470000.0,usa,0.0,-1.22%,-51.39%,advertising 
monopar therapeutics,6863,39600000.0,usa,3.0,10.45%,2.85%,pharmaceuticals biotech 
alkaline water company,6871,38160000.0,usa,0.0,0.90%,-77.17%,beverages 
capstone green energy,6859,40690000.0,usa,2.0,1.37%,-36.21%,manufacturing renewable-energy energy 
biomerica,6860,40550000.0,usa,3.0,1.69%,-31.43%,
the9,6873,38080000.0,china,1.0,0.79%,-74.46%,tech bitcoin internet entertainment video-games 
us gold corp,6843,42570000.0,usa,5.0,0.60%,-35.48%,mining gold-mining 
corvus pharmaceuticals,6845,42480000.0,usa,0.0,3.66%,-54.82%,pharmaceuticals biotech 
lightpath technologies,6857,40930000.0,usa,1.0,0.67%,-42.53%,electronics 
trinity biotech,6854,41420000.0,ireland,1.0,1.12%,-21.80%,diagnostics biotech 
cyberstep,6844,42570000.0,japan,3.0,-2.12%,21.60%,video-games entertainment internet 
party city,6846,42400000.0,usa,0.0,0.00%,-93.38%,retail 
zion oil & gas,6856,41060000.0,usa,0.0,3.84%,-43.00%,oil-gas energy 
navios maritime holdings,6853,41470000.0,,1.0,1.68%,-47.55%,transportation maritime-transportation 
solitario zinc,6847,42090000.0,usa,0.0,-1.68%,32.65%,mining 
ocean power technologies,6849,41820000.0,usa,0.0,2.47%,-42.90%,electricity energy 
audacy,6855,41350000.0,usa,0.0,-1.69%,-88.50%,media-press 
apptech payments,6852,41510000.0,usa,2.0,2.43%,13.96%,financial-services tech 
inuvo,6842,42720000.0,usa,0.0,0.65%,-22.70%,advertising 
biora therapeutics,6851,41720000.0,usa,4.0,2.95%,209.54%,pharmaceuticals biotech 
phnom penh sez,6848,42020000.0,cambodia,0.0,-0.42%,,
journey medical,6850,41740000.0,usa,2.0,-5.24%,-54.01%,pharmaceuticals biotech 
graphex group,6840,43390000.0,hong-kong,1.0,-4.51%,-55.44%,batteries 
vapotherm,6838,44330000.0,usa,1.0,-8.79%,-90.34%,medical-devices 
bitnile,6833,44770000.0,usa,0.0,0.00%,-87.87%,bitcoin tech bitcoin-mining 
nymox pharmaceutical,6837,44350000.0,,0.0,4.43%,-71.68%,pharmaceuticals 
big cheese studio,6826,45660000.0,poland,11.0,1.79%,5.75%,video-games entertainment 
revlon,6835,44500000.0,usa,0.0,4.42%,,cosmetics 
tessco technologies,6834,44560000.0,usa,4.0,-2.80%,-25.64%,telecommunications-equipment 
ata creativity global,6829,45490000.0,china,1.0,2.84%,-24.08%,education 
emcore corporation,6831,45120000.0,usa,1.0,5.26%,-80.77%,wire-and-cable-manufacturers aerospace 
ironnet,6839,43430000.0,usa,0.0,2.42%,-87.90%,it-security tech software 
cimbeton,6836,44380000.0,turkey,25.0,-0.21%,52.03%,cement building-materials 
ourgame international,6828,45540000.0,china,0.0,4.76%,-20.00%,video-games entertainment 
soktas tekstil,6841,43320000.0,turkey,0.0,0.76%,55.56%,clothing manufacturing 
ashford inc,6827,45570000.0,usa,14.0,0.00%,-9.02%,asset-management financial-services 
investigator resources,6832,45060000.0,australia,0.0,0.00%,-40.00%,silver-mining mining 
coya therapeutics,6830,45490000.0,usa,4.0,-0.21%,,pharmaceuticals biotech 
maia biotechnology,6823,46300000.0,usa,4.0,1.93%,,biotech pharmaceuticals 
ascent solar technologies,6819,46820000.0,usa,1.0,-0.72%,,renewable-energy energy electricity manufacturing 
enish,6817,47120000.0,japan,2.0,1.15%,-17.52%,video-games entertainment tech 
cielo waste solutions,6821,46440000.0,canada,0.0,0.00%,-82.86%,waste-recycling renewable-energy energy biofuel 
kirkland's,6820,46800000.0,usa,3.0,1.94%,-78.17%,retail 
abeona therapeutics,6822,46370000.0,usa,2.0,1.12%,900.00%,pharmaceuticals biotech 
uphealth,6816,47260000.0,usa,3.0,1.60%,33.02%,telehealth healthcare software tech 
palatin technologies,6814,47930000.0,usa,4.0,8.94%,"1,029.27%",
sos limited,6813,48010000.0,china,7.0,-7.20%,783.72%,tech 
bit mining 500com,6824,45740000.0,china,4.0,-1.38%,-12.42%,tech bitcoin bitcoin-mining 
nippon ichi software,6818,47020000.0,japan,9.0,4.24%,-28.83%,video-games entertainment tech software 
tose software,6825,45710000.0,japan,6.0,2.64%,-2.58%,software tech video-games entertainment 
5th planet games,6815,47450000.0,denmark,0.0,0.45%,53.33%,video-games entertainment 
horizon global,6812,48110000.0,usa,1.0,-0.29%,-79.12%,
ageagle aerial systems,6811,48330000.0,usa,0.0,8.97%,-62.64%,aerospace tech agriculture 
coly,6810,48390000.0,japan,8.0,0.71%,-53.91%,video-games entertainment 
comstock mining,6808,48570000.0,usa,0.0,-0.62%,-63.10%,mining 
science 37,6804,49380000.0,usa,0.0,0.02%,-95.33%,
talaris therapeutics,6798,50480000.0,usa,1.0,-0.25%,-87.93%,pharmaceuticals biotech 
westwater resources,6795,51490000.0,usa,1.0,1.07%,-51.96%,mining 
magic empire global giraffe capital,6800,49770000.0,hong-kong,2.0,18.50%,,financial-services 
natural health trends,6806,48990000.0,usa,4.0,1.64%,-41.48%,e-commerce internet tech 
leap therapeutics,6805,49260000.0,usa,0.0,0.04%,-82.48%,pharmaceuticals biotech 
advanced emissions solutions,6801,49490000.0,usa,2.0,0.39%,-60.76%,chemicals 
nbi industrial finance,6799,50470000.0,india,20.0,1.36%,-35.15%,
okyo pharma,6794,51810000.0,united-kingdom,2.0,4.85%,,pharmaceuticals biotech 
intellicheck,6807,48700000.0,usa,2.0,0.00%,-49.90%,software tech 
the glimpse group,6796,51180000.0,usa,3.0,0.13%,-59.21%,software tech 
castellum,6797,51080000.0,usa,1.0,12.83%,,tech it-security it-services software 
renren,6809,48460000.0,china,1.0,3.46%,-90.02%,internet tech 
hindustan media ventures,6802,49460000.0,india,0.0,0.46%,-36.19%,media-press 
kaival brands innovations,6803,49410000.0,usa,0.0,-2.24%,27.51%,tobacco 
lipocine,6792,52220000.0,usa,0.0,1.55%,-41.00%,pharmaceuticals 
hinduja ventures,6786,53390000.0,india,1.0,0.62%,-73.59%,media-press 
tscan therapeutics,6787,52970000.0,usa,2.0,-2.65%,-54.64%,pharmaceuticals biotech 
atlis motor vehicles,6793,51870000.0,usa,5.0,2.99%,,electric-vehicles automakers 
virtra,6781,54160000.0,usa,4.0,0.00%,-25.26%,
mag interactive,6779,54230000.0,sweden,2.0,-13.77%,-27.05%,video-games entertainment 
lucid diagnostics,6782,53960000.0,usa,1.0,-11.54%,-65.93%,diagnostics biotech 
therapeuticsmd,6788,52940000.0,usa,5.0,1.32%,"1,497.97%",pharmaceuticals biotech 
aeroclean technologies,6790,52680000.0,usa,3.0,0.59%,-52.71%,
rafael holdings,6789,52830000.0,usa,2.0,3.30%,-56.56%,pharmaceuticals biotech 
oncocyte,6784,53760000.0,usa,0.0,-2.10%,-76.02%,diagnostics 
mobile factory,6783,53890000.0,japan,6.0,1.61%,-8.46%,video-games entertainment tech 
pavmed,6791,52460000.0,usa,0.0,-11.90%,-70.99%,medical-devices 
golden minerals,6785,53590000.0,usa,0.0,0.88%,-15.79%,mining 
addentax group,6780,54210000.0,china,1.0,1.80%,-77.47%,manufacturing 
icandy interactive,6778,54240000.0,australia,0.0,3.57%,-60.00%,video-games entertainment 
allied esports,6777,54320000.0,usa,1.0,2.20%,-27.61%,entertainment esports 
east side games,6774,54800000.0,canada,0.0,0.00%,-75.64%,video-games entertainment 
aquestive therapeutics,6775,54420000.0,usa,1.0,0.50%,-72.76%,pharmaceuticals 
balaji telefilms,6776,54390000.0,india,0.0,0.23%,-38.64%,entertainment 
brainstorm cell therapeutics,6773,54810000.0,usa,1.0,2.04%,-55.75%,pharmaceuticals biotech 
spi energy,6771,54880000.0,usa,1.0,13.66%,-46.49%,renewable-energy electricity energy 
asp isotopes,6770,54970000.0,usa,1.0,0.00%,,energy 
rewalk robotics,6772,54820000.0,israel,0.0,2.93%,-26.33%,tech robotics 
petropavlovsk,6769,55500000.0,united-kingdom,1.0,-0.66%,-93.86%,mining gold-mining 
imperial petroleum,6765,56630000.0,,0.0,1.84%,-85.97%,transportation maritime-transportation oil-gas 
augmedix,6761,57270000.0,usa,1.0,-4.38%,-54.33%,healthcare 
tonix pharmaceuticals,6757,58680000.0,usa,1.0,-5.56%,-88.62%,pharmaceuticals 
nautilus,6764,56750000.0,usa,1.0,-0.04%,-68.77%,sports 
popreach,6766,56530000.0,canada,0.0,0.00%,-58.00%,advertising video-games entertainment 
unitech group,6768,55700000.0,india,0.0,0.00%,-60.00%,real-estate investment 
wayi international digital entertainment,6755,58850000.0,taiwan,2.0,1.39%,-40.41%,video-games entertainment 
koss,6759,57830000.0,usa,6.0,5.88%,-34.92%,electronics 
mgo global,6754,58860000.0,usa,4.0,-8.92%,,clothing 
freightcar america,6763,57000000.0,usa,3.0,-0.30%,-16.62%,manufacturing 
xebec adsorption,6756,58690000.0,canada,0.0,0.00%,-78.03%,renewable-energy energy 
lantern pharma,6758,58370000.0,usa,5.0,-0.97%,-18.53%,pharmaceuticals biotech 
pestech cambodia,6760,57500000.0,cambodia,0.0,0.00%,,energy electricity infrastructure 
adamas one,6767,55860000.0,usa,3.0,5.17%,,luxury-goods manufacturing 
elevate credit,6762,57180000.0,usa,1.0,0.00%,-38.18%,financial-services 
polishedcom,6748,59660000.0,usa,0.0,3.13%,,e-commerce internet retail 
sporting clube de portugal,6753,58930000.0,,0.0,0.00%,-16.19%,football 
jounce therapeutics,6742,60480000.0,usa,1.0,1.74%,-80.88%,pharmaceuticals biotech 
the marygold companies,6749,59540000.0,usa,1.0,-1.95%,,asset-management investment 
hexo,6752,59010000.0,canada,1.0,0.34%,118.21%,cannabis 
heritage insurance,6750,59510000.0,usa,2.0,3.14%,-63.20%,insurance 
ncs multistage,6745,60300000.0,usa,25.0,1.36%,-36.69%,oil-gas oil-gas-equipment-services 
biolargo,6751,59040000.0,usa,0.0,0.00%,7.20%,
unity biotechnology,6744,60380000.0,usa,4.0,3.78%,187.50%,pharmaceuticals biotech 
united insurance holdings,6741,60620000.0,usa,1.0,5.26%,-67.44%,insurance 
logan ridge finance,6746,60180000.0,usa,22.0,-1.02%,-9.68%,financial-services asset-management 
geospace technologies,6743,60400000.0,usa,4.0,1.55%,-44.31%,tech manufacturing engineering 
scynexis,6747,59760000.0,usa,1.0,1.10%,-69.75%,pharmaceuticals biotech 
nectar lifesciences,6740,60720000.0,india,0.0,1.15%,-44.90%,pharmaceuticals 
know labs,6735,62600000.0,usa,1.0,-1.52%,-22.62%,medical-devices 
manhattan bridge capital,6725,65170000.0,usa,5.0,0.71%,-1.22%,reit real-estate investment 
surface oncology,6736,62380000.0,usa,1.0,4.07%,-76.04%,pharmaceuticals biotech 
rapid micro biosystems,6739,60890000.0,usa,1.0,4.32%,-79.29%,medical-devices 
gamesparcs,6734,62620000.0,taiwan,1.0,0.00%,-21.16%,video-games entertainment 
orion energy systems,6731,62680000.0,usa,1.0,-1.01%,-53.77%,
tiziana life sciences,6729,63400000.0,united-kingdom,0.0,3.33%,-29.55%,pharmaceuticals biotech 
mogo,6733,62650000.0,canada,0.0,1.72%,-69.40%,financial-services bitcoin 
aeria,6727,64870000.0,japan,2.0,2.70%,-12.76%,internet video-games entertainment 
aptose biosciences,6726,65030000.0,canada,0.0,1.33%,-45.94%,biotech pharmaceuticals 
atlas lithium,6730,63110000.0,usa,10.0,26.12%,"107,100.00%",mining 
great elm capital,6724,65370000.0,usa,8.0,0.23%,170.44%,financial-services investment 
spruce biosciences,6732,62670000.0,usa,2.0,0.38%,-13.36%,pharmaceuticals biotech 
red cat holdings,6728,64080000.0,usa,1.0,-0.86%,-39.81%,tech 
mega uranium,6737,61670000.0,canada,0.0,0.00%,-34.62%,uranium energy mining 
sino-entertainment technology,6738,61300000.0,china,0.0,0.00%,-76.56%,video-games entertainment 
retractable technologies,6713,67880000.0,usa,2.0,1.53%,-67.59%,medical-devices 
snail inc,6720,66790000.0,china,1.0,1.12%,,video-games entertainment 
atyr pharma,6719,67069999.0,usa,2.0,0.97%,-64.54%,pharmaceuticals biotech 
indonesia energy,6722,65590000.0,indonesia,6.0,2.82%,97.18%,energy oil-gas 
adverum biotechnologies,6721,65819999.0,usa,0.0,0.15%,-57.14%,gene-therapy genomics pharmaceuticals biotech 
culp,6718,67240000.0,usa,5.0,0.00%,-39.89%,manufacturing 
lightning emotors,6723,65550000.0,usa,0.0,1.07%,-88.21%,electric-vehicles specialty-vehicles manufacturing 
radio city,6710,69770000.0,india,0.0,-0.91%,-39.39%,media-press 
galectin therapeutics,6712,68340000.0,usa,1.0,-1.70%,-40.41%,pharmaceuticals biotech 
imagineer,6714,67760000.0,japan,7.0,0.44%,-19.59%,video-games entertainment 
rane brake lining,6711,69430000.0,india,8.0,1.94%,-19.82%,automotive-suppliers 
genprex,6715,67710000.0,usa,1.0,0.71%,-33.80%,pharmaceuticals 
aquabounty,6716,67520000.0,usa,0.0,-1.74%,-48.39%,food 
sellas life sciences,6717,67410000.0,usa,3.0,-2.26%,-40.79%,pharmaceuticals biotech 
curis,6709,70370000.0,usa,0.0,2.37%,-80.00%,pharmaceuticals biotech 
immunic,6708,71190000.0,usa,1.0,4.22%,-85.82%,pharmaceuticals biotech 
owlet,6707,71200000.0,usa,0.0,-2.04%,-72.07%,medical-devices 
enochian biosciences,6702,71690000.0,usa,1.0,4.96%,-75.52%,biotech pharmaceuticals 
cheetah mobile,6701,72730000.0,china,2.0,0.79%,69.54%,internet tech 
energous,6706,71440000.0,usa,0.0,1.28%,-22.46%,electronics tech tech-hardware 
wejo group,6704,71520000.0,united-kingdom,0.0,3.61%,-87.30%,software tech 
forsys metals,6699,72870000.0,canada,0.0,0.00%,-46.38%,uranium energy mining 
synlogic,6703,71570000.0,usa,1.0,-0.49%,-50.49%,pharmaceuticals 
laramide resources,6697,73150000.0,canada,0.0,1.08%,-33.96%,uranium energy mining 
synchronoss,6696,73150000.0,usa,0.0,1.74%,-64.06%,software tech 
vtv therapeutics,6695,73330000.0,usa,0.0,1.56%,2.27%,pharmaceuticals 
dirtt environmental solutions,6693,73670000.0,canada,0.0,-3.14%,-65.13%,engineering construction 
emagin,6700,72740000.0,usa,0.0,1.25%,-32.12%,electronics 
regis corporation,6705,71490000.0,usa,1.0,2.61%,6.08%,wellness 
broccoli,6698,73130000.0,japan,8.0,1.12%,-20.53%,video-games entertainment retail 
reliance communications,6694,73340000.0,india,0.0,-2.27%,-40.00%,telecommunication 
hepion pharmaceuticals,6680,76220000.0,usa,1.0,-5.66%,-9.09%,pharmaceuticals biotech 
vista gold,6688,74530000.0,usa,0.0,-0.06%,-8.70%,mining gold-mining 
neovasc,6683,75750000.0,canada,27.0,-0.79%,"5,895.65%",medical-devices 
gaia,6679,76560000.0,usa,3.0,0.00%,-54.51%,media-press 
feiyu technology international company,6686,74830000.0,china,0.0,3.03%,0.00%,video-games entertainment 
ss lazio,6687,74660000.0,italy,1.0,-0.49%,-8.33%,football 
accelerate diagnostics,6691,74320000.0,usa,0.0,1.82%,-81.71%,diagnostics 
sotherly hotels,6689,74350000.0,usa,1.0,0.59%,-13.51%,hotels real-estate investment reit travel 
io biotech,6690,74340000.0,denmark,2.0,4.03%,-64.71%,pharmaceuticals biotech 
enzo biochem,6682,75760000.0,usa,1.0,1.63%,-53.02%,healthcare 
express,6677,77860000.0,usa,1.0,3.64%,-63.81%,clothing 
bjorn borg,6678,77340000.0,sweden,3.0,0.63%,-40.19%,clothing 
xilio therapeutics,6685,74930000.0,usa,2.0,0.17%,-79.94%,pharmaceuticals biotech 
geechs,6692,73680000.0,japan,7.0,2.15%,-46.65%,video-games entertainment tech 
asian granito india,6684,75260000.0,india,0.0,0.10%,-63.80%,
root insurance,6681,75990000.0,usa,5.0,1.13%,100.37%,insurance 
ebixcash india,6667,81500000.0,india,7.0,-1.47%,,financial-services 
atari,6676,78010000.0,france,0.0,0.16%,-51.16%,video-games tech entertainment 
sunworks,6666,81630000.0,usa,2.0,3.11%,-10.77%,electricity renewable-energy 
kins technology group,6673,79460000.0,usa,10.0,0.00%,1.59%,
compugen,6662,82750000.0,israel,0.0,0.24%,-74.86%,software tech biotech 
lmp automotive holdings,6665,81810000.0,usa,7.0,0.00%,2.60%,
achieve life sciences,6663,82320000.0,canada,4.0,3.84%,-43.70%,pharmaceuticals biotech 
elevate uranium,6670,80620000.0,australia,0.0,0.00%,-21.62%,uranium energy mining 
yuke's,6674,78930000.0,japan,9.0,2.27%,101.72%,video-games entertainment 
venator materials,6668,81020000.0,united-kingdom,0.0,2.73%,-69.52%,chemicals 
hydrofarm,6669,80850000.0,usa,1.0,2.29%,-92.19%,cannabis retail 
superior resources,6675,78230000.0,australia,0.0,3.12%,25.00%,mining 
quicklogic,6664,81950000.0,usa,6.0,-1.73%,21.12%,semiconductors tech 
spencer's retail,6671,80440000.0,india,0.0,-3.98%,-38.62%,retail 
wetrade group,6661,82890000.0,china,0.0,-1.73%,-78.54%,software tech 
gulf island fabrication,6672,80170000.0,usa,5.0,1.92%,19.88%,oil-gas energy 
senti biosciences,6658,83320000.0,usa,1.0,-1.04%,-80.71%,pharmaceuticals biotech 
akatsuki corp,6660,83070000.0,japan,2.0,-0.32%,-21.97%,asset-management 
gan,6657,83470000.0,united-kingdom,1.0,1.03%,-74.07%,gambling entertainment 
nucana,6656,83510000.0,united-kingdom,1.0,0.63%,-42.45%,pharmaceuticals biotech 
orchard therapeutics,6655,83610000.0,united-kingdom,0.0,6.18%,-46.77%,gene-therapy genomics biotech pharmaceuticals 
3i infotech,6659,83210000.0,india,0.0,-0.12%,-58.82%,software tech 
velan,6653,84630000.0,canada,3.0,0.00%,-42.86%,
jay bharat maruti,6654,84280000.0,india,1.0,-0.38%,-25.95%,automotive-suppliers 
crooz,6642,87390000.0,japan,7.0,-0.68%,3.15%,internet video-games entertainment 
protalix biotherapeutics,6652,84860000.0,israel,1.0,0.90%,94.77%,pharmaceuticals 
nano labs,6646,86920000.0,china,1.0,-3.15%,,bitcoin tech 
acres commercial realty,6645,86970000.0,usa,9.0,-0.70%,-25.06%,reit real-estate investment 
lifeway foods,6641,87850000.0,usa,5.0,-3.57%,9.04%,dairy food 
faze clan,6640,88450000.0,usa,1.0,-4.69%,-87.74%,entertainment esports 
viracta therapeutics,6638,88800000.0,usa,2.0,1.53%,-22.50%,pharmaceuticals biotech 
nn inc,6647,86420000.0,usa,1.0,0.51%,-53.43%,manufacturing 
charlotte's web,6643,87190000.0,usa,0.0,-2.53%,-45.79%,cannabis 
argo blockchain,6649,85570000.0,united-kingdom,1.0,-1.59%,-83.28%,bitcoin tech bitcoin-mining 
beyondspring,6651,85050000.0,usa,2.0,5.56%,-43.69%,pharmaceuticals biotech 
longeveron,6650,85330000.0,usa,4.0,1.50%,-55.29%,pharmaceuticals biotech 
neovolta,6639,88680000.0,usa,2.0,0.37%,-60.18%,batteries electricity manufacturing 
modiv,6644,87050000.0,usa,11.0,-3.01%,,reit real-estate investment 
bird global,6648,85810000.0,usa,0.0,2.72%,-92.33%,transportation tech 
airasia,6637,89190000.0,malaysia,0.0,0.30%,-15.38%,airlines travel transportation 
cave interactive,6630,90690000.0,japan,14.0,2.23%,129.63%,entertainment video-games 
bliss gvs pharma,6633,90560000.0,india,0.0,0.28%,-35.07%,pharmaceuticals 
apyx medical,6634,89950000.0,usa,2.0,-1.89%,-77.64%,medical-devices 
nrx pharmaceuticals,6635,89690000.0,usa,1.0,-1.12%,-66.88%,pharmaceuticals biotech 
co-diagnostics,6631,90580000.0,usa,2.0,-4.25%,-66.93%,diagnostics 
akumin,6623,92350000.0,canada,1.0,0.00%,-36.81%,diagnostics 
ayr wellness,6629,90860000.0,usa,1.0,3.94%,-92.16%,cannabis 
don't nod entertainment,6627,91570000.0,france,10.0,0.00%,-44.34%,video-games entertainment 
macrowell omg digital entertainment,6625,92020000.0,taiwan,3.0,-0.86%,-48.48%,video-games entertainment 
lyra therapeutics,6628,90960000.0,usa,2.0,0.99%,-27.65%,pharmaceuticals biotech 
stabilis solutions,6624,92200000.0,usa,5.0,-1.47%,23.22%,energy oil-gas 
vince holding,6622,92360000.0,usa,7.0,0.00%,-16.78%,clothing 
delta apparel,6636,89540000.0,usa,12.0,2.32%,-60.18%,clothing 
mesa air,6632,90570000.0,usa,2.0,2.46%,-56.17%,airlines travel transportation 
armata pharmaceuticals,6626,91730000.0,usa,2.0,2.76%,-55.24%,pharmaceuticals biotech 
bloober team,6619,93220000.0,poland,4.0,1.81%,8.93%,video-games entertainment 
viomi technology,6608,95840000.0,china,1.0,1.66%,-34.16%,iot tech furniture home-and-kitchen-appliances 
apex frozen foods,6609,95770000.0,india,3.0,0.14%,-29.82%,food agriculture 
flexsteel industries,6618,93390000.0,usa,17.0,0.00%,-33.77%,furniture 
bragg gaming group,6621,92890000.0,canada,4.0,-1.57%,-5.58%,video-games entertainment 
smart sand,6610,95530000.0,usa,2.0,1.44%,1.44%,oil-gas energy 
hour loop,6611,95310000.0,usa,2.0,-4.89%,-52.53%,retail e-commerce internet 
